airline,from,to,day,month,year,age,gender,reason,stay,transit,connection,wait
Alaska,PDX,SJC,2,3,2022,52,undisclosed,Business/Work,Friend/Family,,True,681
Delta Airlines,JFK,GDL,15,2,2021,8,female,On vacation/Pleasure,Friend/Family,Public Transportation,False,0
Delta Airlines,PDX,LAX,27,1,2013,59,undisclosed,Back Home,Home,Mobility as a service,False,0
Delta Airlines,PDX,LAX,17,12,2021,72,undisclosed,On vacation/Pleasure,Hotel,Public Transportation,False,0
Delta Airlines,SJC,LAX,1,2,2016,76,undisclosed,Back Home,Home,Airport cab,False,0
Delta Airlines,LAX,GDL,28,10,2019,12,female,Business/Work,Hotel,,True,274
Aeromexico,SJC,PDX,17,2,2023,88,unspecified,On vacation/Pleasure,Friend/Family,Airport cab,False,0
Aeromexico,JFK,SJC,4,10,2019,9,female,Business/Work,Friend/Family,,True,124
Delta Airlines,JFK,GDL,29,8,2020,82,female,On vacation/Pleasure,Home,Public Transportation,False,0
American Airlines,GDL,PDX,2,5,2013,47,undisclosed,On vacation/Pleasure,Home,,True,60
American Airlines,JFK,GDL,7,9,2020,52,unspecified,Business/Work,Home,,True,601
Alaska,LAX,JFK,15,10,2015,39,unspecified,Business/Work,Friend/Family,,True,299
Alaska,JFK,PDX,28,3,2017,48,unspecified,Business/Work,Short-term homestay,Public Transportation,False,0
Alaska,LAX,GDL,6,12,2017,34,female,Business/Work,Home,,True,623
Delta Airlines,LAX,JFK,25,6,2021,76,male,Back Home,Home,Public Transportation,False,0
Alaska,GDL,LAX,24,1,2023,85,unspecified,Back Home,Home,Airport cab,False,0
Aeromexico,SJC,LAX,19,4,2018,44,undisclosed,On vacation/Pleasure,Short-term homestay,,True,580
Aeromexico,PDX,JFK,3,4,2021,83,unspecified,On vacation/Pleasure,Friend/Family,,True,220
Aeromexico,JFK,LAX,26,7,2014,24,undisclosed,On vacation/Pleasure,Friend/Family,,True,342
Aeromexico,LAX,JFK,2,5,2013,14,unspecified,Back Home,Home,Mobility as a service,False,0
American Airlines,LAX,GDL,28,4,2020,14,unspecified,On vacation/Pleasure,Home,,True,291
Volaris,LAX,JFK,10,2,2023,43,female,Back Home,Home,Car rental,False,0
Alaska,JFK,GDL,9,4,2023,39,undisclosed,Business/Work,Friend/Family,,True,66
Alaska,PDX,LAX,1,7,2019,50,unspecified,Back Home,Home,Airport cab,False,0
Aeromexico,JFK,GDL,13,10,2022,47,unspecified,On vacation/Pleasure,Friend/Family,,True,151
American Airlines,PDX,GDL,8,9,2015,43,female,Back Home,Home,Public Transportation,False,0
Delta Airlines,PDX,SJC,6,12,2016,3,male,On vacation/Pleasure,Friend/Family,Public Transportation,False,0
Alaska,JFK,LAX,31,10,2019,2,undisclosed,On vacation/Pleasure,Hotel,Own car,False,0
Volaris,GDL,JFK,27,5,2017,86,undisclosed,Business/Work,Home,,True,557
Delta Airlines,LAX,SJC,13,9,2019,63,unspecified,On vacation/Pleasure,Hotel,,True,673
Aeromexico,GDL,JFK,30,12,2017,30,unspecified,On vacation/Pleasure,Friend/Family,Airport cab,False,0
Alaska,JFK,LAX,8,3,2014,52,male,Back Home,Home,Pickup,False,0
Volaris,JFK,LAX,27,9,2020,79,female,Business/Work,Home,,True,449
Delta Airlines,GDL,PDX,20,10,2022,59,undisclosed,On vacation/Pleasure,Short-term homestay,Pickup,False,0
Aeromexico,JFK,SJC,5,2,2013,66,female,On vacation/Pleasure,Hotel,Public Transportation,False,0
Delta Airlines,PDX,JFK,26,3,2017,66,male,On vacation/Pleasure,Friend/Family,,True,130
Volaris,JFK,LAX,2,9,2015,70,female,Back Home,Home,Airport cab,False,0
Delta Airlines,GDL,PDX,30,3,2015,76,male,Back Home,Home,Mobility as a service,False,0
Volaris,LAX,JFK,5,5,2022,31,undisclosed,Back Home,Home,Car rental,False,0
Alaska,PDX,SJC,19,4,2014,39,unspecified,On vacation/Pleasure,Short-term homestay,,True,39
Alaska,PDX,GDL,24,9,2013,1,undisclosed,Back Home,Home,Own car,False,0
American Airlines,JFK,GDL,11,7,2019,60,male,Back Home,Home,Pickup,False,0
Aeromexico,GDL,JFK,27,10,2013,70,male,On vacation/Pleasure,Home,Public Transportation,False,0
American Airlines,JFK,GDL,2,2,2018,16,female,On vacation/Pleasure,Short-term homestay,,True,187
Aeromexico,SJC,JFK,31,1,2014,41,male,Business/Work,Friend/Family,Public Transportation,False,0
Alaska,JFK,PDX,28,8,2015,83,undisclosed,On vacation/Pleasure,Home,Car rental,False,0
Aeromexico,PDX,SJC,27,12,2016,15,male,Business/Work,Home,,True,433
Aeromexico,SJC,JFK,24,10,2016,46,unspecified,On vacation/Pleasure,Hotel,,True,100
Aeromexico,SJC,LAX,27,10,2021,6,unspecified,On vacation/Pleasure,Short-term homestay,,True,184
American Airlines,SJC,GDL,3,3,2020,66,male,Business/Work,Short-term homestay,Pickup,False,0
Aeromexico,PDX,LAX,2,4,2014,20,female,Back Home,Home,Car rental,False,0
American Airlines,SJC,LAX,3,1,2019,38,female,On vacation/Pleasure,Friend/Family,,True,297
American Airlines,GDL,PDX,9,1,2018,58,female,Business/Work,Short-term homestay,,True,503
American Airlines,SJC,GDL,24,9,2014,51,unspecified,Back Home,Home,Pickup,False,0
Delta Airlines,LAX,GDL,1,9,2014,55,undisclosed,On vacation/Pleasure,Short-term homestay,,True,477
Alaska,GDL,PDX,26,1,2014,51,female,Back Home,Home,Public Transportation,False,0
Volaris,GDL,SJC,22,5,2022,68,male,Back Home,Home,Mobility as a service,False,0
Alaska,SJC,LAX,27,6,2022,10,undisclosed,On vacation/Pleasure,Friend/Family,,True,57
Volaris,GDL,JFK,24,12,2015,20,undisclosed,On vacation/Pleasure,Home,Airport cab,False,0
American Airlines,JFK,PDX,26,1,2018,59,female,Business/Work,Short-term homestay,Public Transportation,False,0
Delta Airlines,LAX,JFK,31,7,2022,69,undisclosed,On vacation/Pleasure,Hotel,Mobility as a service,False,0
American Airlines,PDX,LAX,10,7,2019,3,male,Business/Work,Short-term homestay,Own car,False,0
American Airlines,JFK,LAX,26,12,2022,46,undisclosed,Business/Work,Hotel,,True,556
Aeromexico,JFK,PDX,25,6,2014,29,male,On vacation/Pleasure,Hotel,,True,33
Volaris,JFK,PDX,30,3,2018,65,female,Back Home,Home,Airport cab,False,0
Delta Airlines,GDL,SJC,27,1,2022,36,unspecified,Back Home,Home,Car rental,False,0
Delta Airlines,SJC,GDL,8,4,2021,22,undisclosed,On vacation/Pleasure,Hotel,Mobility as a service,False,0
Alaska,LAX,PDX,4,9,2020,70,male,Back Home,Home,Airport cab,False,0
Aeromexico,PDX,SJC,13,2,2019,1,female,Back Home,Home,Public Transportation,False,0
American Airlines,LAX,PDX,5,4,2014,28,unspecified,On vacation/Pleasure,Home,Own car,False,0
Volaris,GDL,JFK,4,4,2019,67,female,Back Home,Home,Airport cab,False,0
Delta Airlines,LAX,SJC,12,9,2021,81,female,On vacation/Pleasure,Friend/Family,Own car,False,0
Volaris,JFK,GDL,21,3,2020,2,male,On vacation/Pleasure,Short-term homestay,,True,406
Delta Airlines,PDX,LAX,7,1,2021,20,unspecified,Back Home,Home,Public Transportation,False,0
American Airlines,PDX,SJC,19,3,2014,75,undisclosed,On vacation/Pleasure,Short-term homestay,Public Transportation,False,0
Delta Airlines,PDX,GDL,16,7,2015,4,unspecified,Business/Work,Hotel,Pickup,False,0
Volaris,GDL,LAX,21,3,2015,9,undisclosed,Business/Work,Hotel,,True,367
Alaska,PDX,GDL,3,9,2015,29,unspecified,Business/Work,Short-term homestay,,True,572
Aeromexico,PDX,GDL,10,3,2013,37,undisclosed,Business/Work,Hotel,,True,121
Volaris,JFK,GDL,17,11,2020,9,male,On vacation/Pleasure,Hotel,,True,286
American Airlines,PDX,GDL,19,8,2015,56,unspecified,On vacation/Pleasure,Short-term homestay,Public Transportation,False,0
Alaska,SJC,PDX,9,3,2022,16,undisclosed,On vacation/Pleasure,Friend/Family,,True,457
Volaris,PDX,GDL,15,6,2022,66,female,Back Home,Home,Own car,False,0
Delta Airlines,SJC,PDX,24,3,2015,41,undisclosed,On vacation/Pleasure,Hotel,,True,362
Volaris,JFK,PDX,22,5,2015,83,unspecified,Back Home,Home,Mobility as a service,False,0
Delta Airlines,JFK,SJC,16,11,2016,1,male,On vacation/Pleasure,Short-term homestay,Mobility as a service,False,0
Volaris,PDX,GDL,21,7,2017,88,unspecified,Business/Work,Friend/Family,,True,183
Volaris,PDX,GDL,8,4,2019,33,female,Back Home,Home,Public Transportation,False,0
Volaris,SJC,JFK,8,2,2021,21,undisclosed,On vacation/Pleasure,Hotel,Pickup,False,0
Alaska,GDL,PDX,13,5,2017,45,male,Back Home,Home,Own car,False,0
Aeromexico,JFK,PDX,15,2,2016,70,undisclosed,Back Home,Home,Public Transportation,False,0
American Airlines,GDL,JFK,18,7,2014,45,male,Business/Work,Short-term homestay,Mobility as a service,False,0
Delta Airlines,PDX,JFK,10,7,2014,5,unspecified,Business/Work,Home,Own car,False,0
Delta Airlines,LAX,SJC,18,9,2022,24,undisclosed,On vacation/Pleasure,Short-term homestay,Mobility as a service,False,0
American Airlines,GDL,LAX,30,9,2014,31,unspecified,On vacation/Pleasure,Friend/Family,,True,396
American Airlines,GDL,SJC,15,10,2018,20,female,On vacation/Pleasure,Short-term homestay,,True,142
Volaris,GDL,LAX,20,12,2017,3,female,Business/Work,Short-term homestay,,True,592
Delta Airlines,PDX,JFK,10,2,2013,2,female,Back Home,Home,Mobility as a service,False,0
Volaris,JFK,GDL,15,5,2016,25,male,Business/Work,Friend/Family,Public Transportation,False,0
American Airlines,LAX,SJC,21,1,2021,60,undisclosed,Back Home,Home,Airport cab,False,0
Alaska,GDL,PDX,19,12,2013,50,female,Business/Work,Home,,True,180
Volaris,GDL,SJC,10,4,2022,79,female,Back Home,Home,Pickup,False,0
American Airlines,PDX,GDL,2,7,2022,30,female,Business/Work,Hotel,Airport cab,False,0
American Airlines,GDL,LAX,18,9,2013,88,undisclosed,On vacation/Pleasure,Home,Own car,False,0
Delta Airlines,GDL,JFK,23,9,2013,14,female,On vacation/Pleasure,Hotel,Pickup,False,0
American Airlines,JFK,LAX,5,9,2016,75,female,Back Home,Home,Own car,False,0
Aeromexico,JFK,SJC,28,12,2022,46,female,On vacation/Pleasure,Hotel,,True,488
Delta Airlines,GDL,SJC,9,12,2019,27,unspecified,On vacation/Pleasure,Hotel,Mobility as a service,False,0
American Airlines,GDL,JFK,13,9,2019,52,male,Back Home,Home,Mobility as a service,False,0
American Airlines,PDX,GDL,4,10,2022,3,unspecified,Back Home,Home,Airport cab,False,0
Aeromexico,SJC,JFK,6,1,2016,26,unspecified,Back Home,Home,Public Transportation,False,0
Delta Airlines,JFK,GDL,16,3,2013,85,male,Back Home,Home,Car rental,False,0
Delta Airlines,GDL,JFK,8,10,2021,86,unspecified,Business/Work,Home,,True,425
Alaska,PDX,SJC,9,3,2022,4,female,Back Home,Home,Public Transportation,False,0
Alaska,JFK,SJC,5,11,2022,56,male,On vacation/Pleasure,Short-term homestay,,True,357
Aeromexico,GDL,SJC,4,12,2017,19,unspecified,On vacation/Pleasure,Friend/Family,,True,257
Volaris,LAX,SJC,20,11,2022,79,male,Business/Work,Short-term homestay,Car rental,False,0
Delta Airlines,JFK,PDX,14,11,2021,6,female,Back Home,Home,Car rental,False,0
Delta Airlines,SJC,JFK,9,1,2019,3,female,Back Home,Home,Public Transportation,False,0
Aeromexico,SJC,GDL,5,11,2014,21,female,Back Home,Home,Mobility as a service,False,0
American Airlines,SJC,GDL,14,3,2019,41,female,On vacation/Pleasure,Short-term homestay,,True,553
American Airlines,GDL,JFK,17,1,2023,22,female,On vacation/Pleasure,Hotel,,True,304
Alaska,PDX,SJC,3,11,2019,48,male,On vacation/Pleasure,Short-term homestay,,True,647
American Airlines,SJC,PDX,17,4,2021,45,male,On vacation/Pleasure,Home,,True,387
Delta Airlines,SJC,LAX,26,3,2013,20,male,Back Home,Home,Pickup,False,0
Volaris,PDX,JFK,17,1,2021,75,female,On vacation/Pleasure,Home,,True,685
American Airlines,SJC,PDX,16,11,2022,8,female,On vacation/Pleasure,Friend/Family,,True,596
American Airlines,PDX,JFK,12,4,2019,10,undisclosed,On vacation/Pleasure,Short-term homestay,,True,200
American Airlines,PDX,SJC,1,9,2014,30,male,Business/Work,Short-term homestay,Own car,False,0
Volaris,LAX,SJC,23,12,2021,79,female,On vacation/Pleasure,Short-term homestay,Airport cab,False,0
Delta Airlines,GDL,JFK,14,5,2020,8,female,Business/Work,Friend/Family,Airport cab,False,0
Delta Airlines,SJC,JFK,29,10,2020,13,female,On vacation/Pleasure,Hotel,,True,422
Volaris,JFK,LAX,27,7,2014,76,female,Back Home,Home,Car rental,False,0
Volaris,LAX,GDL,25,7,2021,60,male,Back Home,Home,Airport cab,False,0
American Airlines,PDX,SJC,6,4,2013,6,unspecified,Business/Work,Hotel,,True,57
Aeromexico,PDX,SJC,29,6,2014,31,female,Business/Work,Friend/Family,Own car,False,0
Aeromexico,PDX,JFK,9,10,2022,90,undisclosed,Back Home,Home,Own car,False,0
American Airlines,GDL,LAX,11,6,2017,2,unspecified,Business/Work,Short-term homestay,Own car,False,0
Alaska,PDX,GDL,25,12,2021,45,female,Back Home,Home,Own car,False,0
Aeromexico,LAX,SJC,21,8,2019,29,female,Business/Work,Hotel,Own car,False,0
American Airlines,LAX,GDL,2,5,2016,16,undisclosed,Back Home,Home,Airport cab,False,0
Alaska,SJC,GDL,25,7,2014,90,male,On vacation/Pleasure,Home,Mobility as a service,False,0
Alaska,SJC,LAX,11,5,2020,44,female,Business/Work,Short-term homestay,Pickup,False,0
Alaska,GDL,LAX,18,9,2017,41,undisclosed,On vacation/Pleasure,Home,,True,249
Aeromexico,GDL,PDX,18,4,2013,88,female,Business/Work,Hotel,,True,110
Delta Airlines,LAX,JFK,26,2,2022,8,unspecified,On vacation/Pleasure,Hotel,,True,232
Volaris,SJC,JFK,26,9,2015,80,male,On vacation/Pleasure,Friend/Family,,True,573
Volaris,LAX,JFK,2,4,2015,78,unspecified,On vacation/Pleasure,Friend/Family,Pickup,False,0
Delta Airlines,SJC,GDL,23,7,2013,11,female,On vacation/Pleasure,Home,Pickup,False,0
Alaska,JFK,SJC,10,9,2020,18,female,On vacation/Pleasure,Short-term homestay,Public Transportation,False,0
Volaris,PDX,LAX,18,11,2013,4,female,On vacation/Pleasure,Friend/Family,,True,583
American Airlines,GDL,JFK,15,7,2018,87,unspecified,On vacation/Pleasure,Short-term homestay,,True,268
American Airlines,LAX,SJC,29,5,2019,28,undisclosed,On vacation/Pleasure,Hotel,Car rental,False,0
Alaska,LAX,PDX,25,5,2018,73,male,Business/Work,Short-term homestay,Mobility as a service,False,0
American Airlines,LAX,SJC,4,5,2018,34,male,Business/Work,Hotel,,True,231
American Airlines,PDX,SJC,21,12,2016,46,male,Business/Work,Short-term homestay,,True,41
American Airlines,GDL,PDX,12,7,2016,70,female,On vacation/Pleasure,Short-term homestay,Own car,False,0
Aeromexico,LAX,PDX,30,9,2016,52,undisclosed,Business/Work,Short-term homestay,Airport cab,False,0
Alaska,JFK,PDX,8,6,2016,12,undisclosed,Back Home,Home,Airport cab,False,0
Volaris,GDL,SJC,26,7,2013,1,female,On vacation/Pleasure,Hotel,,True,232
American Airlines,GDL,LAX,10,10,2014,50,unspecified,On vacation/Pleasure,Home,,True,624
Volaris,LAX,JFK,16,8,2016,10,undisclosed,Back Home,Home,Own car,False,0
Volaris,LAX,SJC,27,6,2021,22,male,On vacation/Pleasure,Friend/Family,,True,576
Delta Airlines,SJC,GDL,18,8,2014,85,female,Back Home,Home,Car rental,False,0
Alaska,JFK,GDL,22,2,2015,22,undisclosed,Back Home,Home,Pickup,False,0
Aeromexico,SJC,JFK,4,11,2016,85,undisclosed,Business/Work,Hotel,,True,242
Delta Airlines,LAX,GDL,24,2,2020,74,male,Business/Work,Short-term homestay,,True,233
Delta Airlines,SJC,PDX,11,8,2022,77,unspecified,Back Home,Home,Mobility as a service,False,0
Delta Airlines,LAX,GDL,25,3,2021,60,male,Back Home,Home,Public Transportation,False,0
Aeromexico,JFK,SJC,20,8,2019,11,undisclosed,Back Home,Home,Airport cab,False,0
Delta Airlines,LAX,GDL,15,4,2018,64,undisclosed,On vacation/Pleasure,Friend/Family,Own car,False,0
Aeromexico,JFK,SJC,18,11,2013,89,male,On vacation/Pleasure,Home,,True,109
Delta Airlines,JFK,SJC,21,8,2014,62,female,Business/Work,Hotel,,True,574
Delta Airlines,PDX,JFK,19,11,2022,50,female,On vacation/Pleasure,Friend/Family,,True,677
Aeromexico,JFK,GDL,26,1,2014,3,unspecified,Business/Work,Hotel,Mobility as a service,False,0
American Airlines,JFK,GDL,23,7,2014,66,female,Business/Work,Short-term homestay,Pickup,False,0
Delta Airlines,GDL,PDX,5,12,2015,89,unspecified,On vacation/Pleasure,Friend/Family,Airport cab,False,0
Delta Airlines,GDL,LAX,24,7,2020,31,undisclosed,Back Home,Home,Public Transportation,False,0
Aeromexico,GDL,LAX,4,5,2017,58,female,On vacation/Pleasure,Short-term homestay,,True,616
Delta Airlines,SJC,GDL,16,2,2021,30,unspecified,Back Home,Home,Airport cab,False,0
Volaris,SJC,LAX,8,2,2021,4,female,Business/Work,Friend/Family,,True,211
Aeromexico,GDL,SJC,26,4,2016,63,female,Business/Work,Hotel,,True,492
Aeromexico,JFK,PDX,16,2,2014,83,male,On vacation/Pleasure,Hotel,Mobility as a service,False,0
Delta Airlines,JFK,PDX,30,7,2020,70,undisclosed,Business/Work,Friend/Family,Own car,False,0
Aeromexico,GDL,JFK,1,3,2013,18,male,On vacation/Pleasure,Hotel,Public Transportation,False,0
Alaska,JFK,GDL,20,7,2014,20,undisclosed,On vacation/Pleasure,Hotel,Public Transportation,False,0
Alaska,JFK,GDL,11,8,2016,24,male,Back Home,Home,Public Transportation,False,0
Delta Airlines,PDX,JFK,24,1,2014,43,undisclosed,Business/Work,Friend/Family,Mobility as a service,False,0
Alaska,LAX,JFK,10,1,2019,15,undisclosed,Back Home,Home,Pickup,False,0
Alaska,PDX,JFK,30,8,2014,12,unspecified,On vacation/Pleasure,Friend/Family,Car rental,False,0
Aeromexico,GDL,SJC,13,3,2021,38,unspecified,Back Home,Home,Mobility as a service,False,0
Aeromexico,JFK,PDX,29,7,2019,48,male,Business/Work,Short-term homestay,Airport cab,False,0
Aeromexico,LAX,JFK,10,1,2023,10,undisclosed,On vacation/Pleasure,Friend/Family,Airport cab,False,0
Aeromexico,LAX,JFK,29,8,2019,61,undisclosed,On vacation/Pleasure,Short-term homestay,Own car,False,0
Delta Airlines,JFK,PDX,6,3,2021,15,male,Back Home,Home,Public Transportation,False,0
Volaris,JFK,LAX,13,2,2013,61,male,Back Home,Home,Airport cab,False,0
Volaris,GDL,SJC,17,9,2016,49,male,Back Home,Home,Mobility as a service,False,0
American Airlines,JFK,SJC,29,7,2021,12,female,Back Home,Home,Car rental,False,0
Alaska,PDX,LAX,21,10,2022,71,female,On vacation/Pleasure,Short-term homestay,Public Transportation,False,0
Delta Airlines,SJC,GDL,19,4,2016,84,female,Back Home,Home,Car rental,False,0
Volaris,SJC,LAX,14,10,2019,44,male,Back Home,Home,Airport cab,False,0
American Airlines,GDL,PDX,30,3,2013,41,undisclosed,Business/Work,Home,Pickup,False,0
Aeromexico,GDL,SJC,12,11,2022,13,unspecified,On vacation/Pleasure,Home,Car rental,False,0
Aeromexico,PDX,SJC,13,9,2021,53,male,On vacation/Pleasure,Friend/Family,,True,671
American Airlines,JFK,PDX,25,11,2019,8,female,Back Home,Home,Pickup,False,0
Alaska,JFK,LAX,27,11,2021,21,female,Back Home,Home,Public Transportation,False,0
Aeromexico,LAX,PDX,13,10,2019,26,undisclosed,Back Home,Home,Mobility as a service,False,0
Alaska,GDL,LAX,10,4,2017,84,female,On vacation/Pleasure,Short-term homestay,,True,268
Alaska,JFK,GDL,22,3,2023,75,male,Business/Work,Home,Mobility as a service,False,0
Delta Airlines,LAX,SJC,10,3,2014,33,female,On vacation/Pleasure,Short-term homestay,Own car,False,0
Volaris,GDL,LAX,16,3,2019,33,unspecified,Back Home,Home,Own car,False,0
Delta Airlines,LAX,PDX,5,8,2020,12,unspecified,Business/Work,Short-term homestay,,True,344
American Airlines,SJC,GDL,2,12,2019,6,female,Back Home,Home,Pickup,False,0
Aeromexico,GDL,SJC,15,6,2022,51,undisclosed,Business/Work,Home,Public Transportation,False,0
Alaska,GDL,JFK,9,7,2016,37,undisclosed,Back Home,Home,Pickup,False,0
Volaris,PDX,JFK,15,2,2017,2,female,Business/Work,Friend/Family,Mobility as a service,False,0
Alaska,SJC,JFK,14,8,2022,32,undisclosed,Back Home,Home,Pickup,False,0
Alaska,LAX,JFK,6,6,2021,42,male,Business/Work,Short-term homestay,Own car,False,0
American Airlines,PDX,GDL,15,8,2016,90,undisclosed,On vacation/Pleasure,Home,Airport cab,False,0
Delta Airlines,LAX,JFK,22,7,2020,1,unspecified,On vacation/Pleasure,Home,Pickup,False,0
Alaska,PDX,JFK,16,5,2014,46,male,On vacation/Pleasure,Home,Mobility as a service,False,0
American Airlines,JFK,SJC,30,11,2013,38,undisclosed,On vacation/Pleasure,Friend/Family,Pickup,False,0
Delta Airlines,JFK,LAX,31,8,2015,60,undisclosed,On vacation/Pleasure,Hotel,,True,457
Aeromexico,PDX,GDL,14,11,2013,83,male,Back Home,Home,Car rental,False,0
American Airlines,GDL,SJC,4,12,2022,9,undisclosed,Business/Work,Friend/Family,Pickup,False,0
American Airlines,GDL,SJC,31,10,2017,9,male,On vacation/Pleasure,Hotel,Mobility as a service,False,0
Alaska,JFK,SJC,27,11,2022,75,unspecified,On vacation/Pleasure,Friend/Family,Mobility as a service,False,0
Delta Airlines,JFK,LAX,25,1,2014,62,unspecified,Back Home,Home,Pickup,False,0
Delta Airlines,JFK,PDX,17,7,2021,59,male,On vacation/Pleasure,Hotel,Own car,False,0
Volaris,PDX,LAX,15,3,2016,7,undisclosed,Back Home,Home,Own car,False,0
Aeromexico,GDL,LAX,5,11,2021,1,female,Back Home,Home,Pickup,False,0
American Airlines,PDX,SJC,30,5,2021,82,female,Back Home,Home,Pickup,False,0
Delta Airlines,LAX,PDX,9,12,2018,9,male,Back Home,Home,Mobility as a service,False,0
American Airlines,SJC,GDL,5,5,2021,12,female,Back Home,Home,Mobility as a service,False,0
Delta Airlines,JFK,PDX,15,6,2020,32,female,Business/Work,Friend/Family,Car rental,False,0
American Airlines,PDX,JFK,2,4,2017,25,female,Business/Work,Short-term homestay,,True,514
Alaska,PDX,JFK,10,2,2019,61,male,Back Home,Home,Public Transportation,False,0
American Airlines,PDX,GDL,3,6,2013,41,unspecified,Business/Work,Home,Pickup,False,0
American Airlines,LAX,JFK,20,2,2020,59,male,Back Home,Home,Public Transportation,False,0
Aeromexico,LAX,JFK,26,12,2018,73,female,Back Home,Home,Car rental,False,0
American Airlines,JFK,PDX,8,2,2019,79,undisclosed,Business/Work,Home,,True,100
Aeromexico,SJC,GDL,31,10,2022,6,unspecified,On vacation/Pleasure,Hotel,,True,259
Volaris,JFK,GDL,15,3,2021,41,undisclosed,Business/Work,Short-term homestay,,True,652
Alaska,GDL,PDX,30,1,2021,89,female,Back Home,Home,Airport cab,False,0
Volaris,JFK,GDL,26,1,2014,59,male,Back Home,Home,Own car,False,0
American Airlines,JFK,SJC,3,5,2018,35,male,Business/Work,Home,Public Transportation,False,0
Volaris,PDX,JFK,7,9,2015,8,unspecified,On vacation/Pleasure,Friend/Family,,True,98
American Airlines,PDX,SJC,16,5,2017,24,male,On vacation/Pleasure,Friend/Family,,True,376
Aeromexico,LAX,SJC,27,1,2023,11,undisclosed,Back Home,Home,Car rental,False,0
Alaska,SJC,JFK,11,9,2020,19,female,Back Home,Home,Airport cab,False,0
Alaska,PDX,LAX,2,10,2014,45,male,On vacation/Pleasure,Hotel,,True,537
Aeromexico,GDL,LAX,15,7,2020,85,unspecified,Back Home,Home,Airport cab,False,0
Delta Airlines,GDL,LAX,12,12,2022,86,female,Business/Work,Friend/Family,,True,296
Volaris,SJC,PDX,8,1,2014,15,male,Business/Work,Friend/Family,,True,490
Alaska,GDL,LAX,27,10,2020,87,undisclosed,Back Home,Home,Own car,False,0
Aeromexico,PDX,LAX,20,5,2015,53,unspecified,On vacation/Pleasure,Friend/Family,,True,533
American Airlines,LAX,SJC,27,6,2017,17,undisclosed,Back Home,Home,Public Transportation,False,0
Alaska,GDL,JFK,4,2,2015,45,female,Back Home,Home,Public Transportation,False,0
Aeromexico,GDL,JFK,6,6,2017,20,undisclosed,Back Home,Home,Own car,False,0
Aeromexico,SJC,JFK,10,10,2015,17,undisclosed,Back Home,Home,Airport cab,False,0
Aeromexico,JFK,SJC,23,4,2019,40,undisclosed,Back Home,Home,Airport cab,False,0
Volaris,JFK,LAX,20,12,2014,79,male,On vacation/Pleasure,Short-term homestay,,True,445
American Airlines,PDX,JFK,26,4,2020,50,male,Business/Work,Home,Airport cab,False,0
Delta Airlines,JFK,PDX,1,5,2022,43,undisclosed,Business/Work,Friend/Family,,True,553
Volaris,PDX,JFK,29,6,2020,35,female,On vacation/Pleasure,Short-term homestay,Public Transportation,False,0
Alaska,PDX,GDL,22,11,2016,19,unspecified,Business/Work,Friend/Family,,True,687
Volaris,JFK,SJC,30,6,2018,10,unspecified,On vacation/Pleasure,Hotel,Airport cab,False,0
Alaska,PDX,GDL,22,11,2018,52,male,On vacation/Pleasure,Home,Airport cab,False,0
Volaris,SJC,LAX,24,12,2022,68,undisclosed,Business/Work,Home,,True,83
Volaris,GDL,PDX,24,9,2017,23,female,Back Home,Home,Car rental,False,0
American Airlines,PDX,GDL,21,7,2021,15,undisclosed,On vacation/Pleasure,Hotel,,True,59
Volaris,JFK,PDX,9,1,2016,85,unspecified,On vacation/Pleasure,Hotel,,True,571
Aeromexico,LAX,SJC,8,3,2023,68,female,Business/Work,Home,Car rental,False,0
Aeromexico,JFK,SJC,21,8,2013,34,female,Back Home,Home,Airport cab,False,0
American Airlines,SJC,PDX,23,6,2016,29,female,Back Home,Home,Mobility as a service,False,0
Volaris,GDL,SJC,16,4,2021,5,male,Back Home,Home,Airport cab,False,0
Delta Airlines,PDX,GDL,12,7,2022,87,male,Business/Work,Short-term homestay,Public Transportation,False,0
American Airlines,PDX,SJC,22,6,2020,30,undisclosed,Business/Work,Home,Mobility as a service,False,0
Aeromexico,SJC,PDX,28,5,2019,11,undisclosed,Back Home,Home,Car rental,False,0
American Airlines,LAX,SJC,18,8,2019,48,undisclosed,Back Home,Home,Airport cab,False,0
American Airlines,GDL,SJC,4,12,2014,82,female,Business/Work,Home,,True,130
Delta Airlines,JFK,PDX,10,3,2019,57,male,Back Home,Home,Own car,False,0
Alaska,GDL,PDX,13,7,2020,40,male,On vacation/Pleasure,Hotel,Public Transportation,False,0
Delta Airlines,JFK,PDX,30,12,2016,28,female,Back Home,Home,Airport cab,False,0
Delta Airlines,PDX,JFK,18,12,2017,46,female,Back Home,Home,Airport cab,False,0
Aeromexico,LAX,PDX,27,12,2022,67,undisclosed,Business/Work,Short-term homestay,,True,49
Delta Airlines,PDX,JFK,14,11,2020,13,unspecified,On vacation/Pleasure,Home,,True,38
Delta Airlines,LAX,PDX,25,3,2014,33,undisclosed,On vacation/Pleasure,Hotel,Airport cab,False,0
Alaska,JFK,LAX,23,1,2018,52,female,On vacation/Pleasure,Short-term homestay,Airport cab,False,0
Delta Airlines,LAX,JFK,19,10,2022,16,undisclosed,Business/Work,Hotel,Own car,False,0
Volaris,LAX,JFK,6,6,2015,20,undisclosed,On vacation/Pleasure,Friend/Family,Airport cab,False,0
Volaris,LAX,JFK,3,6,2018,6,unspecified,Business/Work,Hotel,,True,404
